bhid,x,y,z,total_depth,dip,azimuth
287,473145.71,1985722.68,800.98,349.33,-90,0
288,473184.25,1985338.82,806.29,356.85,-90,0
367,474449.56,1985814,789.77,308.25,-90,0
393,475488.17,1986249.35,785.55,294.29,-90,0
402,474944.86,1986445.01,793.19,336.54,-90,0
405,474363.18,1986330.81,795.32,353.68,-90,0
414,474987.9,1986048.41,787.27,287.47,-90,0
419,475477.71,1986646.95,789.73,364.52,-90,0
421A,474838.65,1987236.62,790.27,507.12,-90,0
425,473152.11,1986123.86,796.76,476.4,-90,0
426,473680.97,1986617.95,789.34,455.16,-90,0
429,474133.57,1987092.55,790.37,487.52,-90,0
431,473696.78,1985759.38,794.35,364.95,-90,0
433,473683.57,1986999.01,788.73,100,-90,0
435,475468.59,1987068.16,785.11,402.8,-90,0
438,473706.25,1986208.61,791.64,410.51,-90,0
440A,474254.5,1986714.64,792.78,432.85,-90,0
441,474891.35,1986840.47,788.93,412.73,-90,0
446,473151.99,1986522.74,792.43,474.43,-90,0
455,473641.7,1986948.64,788.23,490.94,-90,0
506,474673.75,1986022.4,791,303.17,-90,0
517,474194.82,1985516.23,791.61,317.85,-90,0
518,474570.48,1986788.73,793.13,428.9,-90,0
520,474095.38,1986038.43,796.52,376.1,-90,0
527,474638.34,1986392.93,794.74,356.75,-90,0
531,473970.87,1986477.47,792.3,420.5,-90,0
535,473282.61,1985926.37,799.19,427.47,-90,0
536,475204.91,1987356.68,784.92,473.46,-90,0
562,474511.9,1987581.82,783.42,541.51,-90,0
563,473391.87,1986318.53,792.27,468.5,-90,0
570,475180.08,1986765.97,789.87,377.7,-90,0
611,475207.13,1987729.72,782.74,496,-90,0
623,473817.57,1986510.58,790.92,467.38,-90,0
624,472275.52,1985161.44,811.76,248.09,-90,0
626,472785.26,1985288.92,804.75,320.45,-90,0
684A,474519.27,1987328.53,787.51,480.4,-90,0
686,474772.26,1987604.04,785.53,513,-90,0
687,473914.48,1987309.5,786.3,495.1,-90,0
691,473495.23,1986723.57,791.38,491,-90,0
697,472838.86,1985641.11,801.34,361,-90,0
