bhid,from,to,seam_thickness,seam_name
287,166.86,174.01,7.15,I,
287,294,297.06,3.06,H1,
287,300.72,302.24,1.52,B1,
287,307.21,308.6,1.39,B2,
287,315.41,328.66,13.25,H2,
287,334.96,340.96,6,H3,
288,250.1,251.62,1.52,H1,
288,255.58,257.68,2.1,B1,
288,260.91,262.11,1.2,B2,
288,270.76,272.26,1.5,H2,
288,285.45,287.7,2.25,H3,
288,309.15,309.25,0.1,H4T,
288,317.51,334.53,17.02,TS,
288,348.85,349.6,0.75,IND2,
367,230.37,230.97,0.6,H2,
367,249.56,249.96,0.4,H3,
367,261,263,2,H4T,
367,271.78,272.69,0.91,H4B,
367,274.11,291.18,17.07,TS,
393,120.62,124.23,3.61,I,
393,259.63,263.93,4.3,H3,
393,265.43,266.54,1.11,H4T,
393,268.18,269.22,1.04,H4B,
393,270.4,288.92,18.52,TS,
402,145.05,151.37,6.32,I,
402,303.88,308.45,4.57,H3,
402,309.05,310.21,1.16,H4T,
402,313.44,331.05,17.61,TS,
405,169.92,171.44,1.52,I,
405,274.95,275.86,0.91,H1,
405,284.98,285.23,0.25,B1,
405,293.79,294.59,0.8,B2,
405,305,308.31,3.31,H2,
405,324.56,326.59,2.03,H3,
405,331.43,332.17,0.74,H4T,
405,333.84,350.62,16.78,TS,
414,194.6,195,0.4,H1,
414,219.52,220.15,0.63,B2,
414,261.44,267.72,6.28,H2,
414,253.47,258.45,4.98,H3,
414,260.88,261.84,0.96,H4T,
414,263.71,265.03,1.32,H4B,
414,265.94,279.19,13.25,TS,
419,184.22,185.13,0.91,I,
419,301.64,302.39,0.75,B2,
419,311.04,315.24,4.2,H2,
419,328.57,334.43,5.86,H3,
419,336.17,337.1,0.93,H4T,
419,338.74,340.16,1.42,H4B,
419,342.2,356.77,14.57,TS,
419,360.07,361.17,1.1,IND1,
421A,270.22,283.66,13.44,I,
421A,393.54,394.88,1.34,H1,
421A,424.17,430.75,6.58,H2,
421A,440.53,446.22,5.69,H3,
421A,447.97,449.77,1.8,H4T,
421A,450.88,451.03,0.15,H4B,
421A,452.21,467.54,15.33,TS,
